object_id,org_name,days,time_category,open_time,close_time,notes
230,School in the Square,"Mon, Tue, Fri",middle_of_day,10:00 AM,1:00 PM,
353,The École,Mon-Fri,middle_of_day,9:30 AM,2:00 PM,
312,The Allen-Stevenson School,Mon-Fri,all_day,7:30 AM,3:30 PM,
311,The Buckley School,Mon-Fri,middle_of_day,9:00 AM,2:00 PM,
313,The Dalton School,Mon-Fri,middle_of_day,10:30 AM,2:00 PM,
366,The Dock Street School for STEAM Studies,Mon-Fri,middle_of_day,11:15 AM,12:45 PM,
177,The Nightingale Bamford School,Mon-Fri,middle_of_day,9:00 AM,2:30 PM,
217,The Young Women's Leadership School of Astoria,Mon-Fri,all_day,7:30 AM,4:30 PM,
218,The Young Women's Leadership School of Astoria,Mon-Fri,middle_of_day,10:00 AM,2:30 PM,
331,Thomas A. Edison CTE High School,Mon-Fri,all_day,7:30 AM,4:30 PM,
